street_name,council_name,green_frequency,green_next,landfill_frequency,landfill_next,recycle_frequency,recycle_next
Gurley Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Plumber Court,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Fulham Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Thorogood Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Jenolan Avenue,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Curlewis Road,Wallington,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Ficinia Mews,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Bellrise Drive,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Adelong Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Moona Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Dalyston Street,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Shoaling Drive,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Spectacle Way,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Carbery Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Ebbtide Drive,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Tannery Road,Charlemont,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Sandridge Street,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Kombi Road,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Banks Road,Drysdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Wyong Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Fairvista Avenue,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Cynga Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Ascent Avenue,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Fontaine Street,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Isabella Street,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Hewitt Drive,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Priory Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Edna Way,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Essington Street,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Lewalen Street,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Bradley Place,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Greenville Drive,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Horseshoe Bend Road,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Leghorn Way,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Senior Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Emilija Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Krisanway Drive,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Glen Fair Way,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
St Cuthberts Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Orpington Crescent,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Emile Place,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Bromage Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
May Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Wesona Place,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Shelley Close,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Ash Road,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Verdal Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Nikola Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Cricket Place,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Mornane Road,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Hazelwood Crescent,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Hillclimb Drive,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Hindle Street,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Brandon Mews,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Birrilee Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Springside Drive,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Hewat Drive,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Charente Avenue,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Esma Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Salford Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Enbrook Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Clancy Place,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Kingsbury Lane,Waurn Ponds,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Mayton Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Jaybree Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Barwarre Road,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Marshalltown Road,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Paraffin Drive,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Ridgeview Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Woods Road,Moolap,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Townview Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Langham Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Thwaites Close,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Bawtree Road,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Jendes Lane,Charlemont,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Minka Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Abbey Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Woods Road,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Kings Lane,Charlemont,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Silkwood Close,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Field Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Greenbank Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Narelle Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Tamala Avenue,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Spedding Link,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Marshalltown Road,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Carmichael Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Kelty Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Inala Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Reedy Lakes Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Lein Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Oriondo Way,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Church Street,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Melaluka Road,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Elmsford Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Natika Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Garvey Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Sutalo Street,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Norfolk Place,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Mira Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Kurrajong Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Universal Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Huon Crescent,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Old Pigdons Road,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Pigdons Road,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Bayview Avenue,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Jurgens Road,Drysdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Baltic Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Robbie Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Ellesby,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Cedarwood Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Colden Place,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Doolin Close,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Blue Gum Place,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Daly Boulevard,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Banksia Place,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
The Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Waratah Place,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Cahill Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Cedarville,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Tierney Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
St Patrick Link,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Grove Road,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Gumtree Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Sandalwood Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Wilray Street,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Killarney Avenue,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Birchwood Drive,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Cypress Crescent,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Dendle Street,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Maplewood Crescent,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Marina Road,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Loupe Crescent,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Radiata Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Parkwood Drive,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Oakwood Ridge,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Blyton Court,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Myuna Street,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Andersons Road,St Leonards,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Reedy Link,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Havenwood Place,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Redwood Place,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Fabian Place,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Waurn Park Court,Belmont,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Daxter Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Belchers Road,Drysdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Silverwood Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Cormorant Drive,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Rice Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Freeman Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Chambers Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Pine Grove,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Cranwell Court,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Wave Street,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Marvins Place,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Kintyre Crescent,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Lynch Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Station Road,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Param Street,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Mcevoy Close,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Laguna Place,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Waurnvale Drive,Belmont,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Waurnvale Drive Laneway,Belmont,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Pindari Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Buzzard Link,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Allambie Street,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Mala Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Sandtoft Court,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Monaco Avenue,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Lochlan Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Karumba Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Willows Place,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Taras Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Paratone Crescent,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Granby Crescent,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Dune Street,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Leicester Mews,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Oak View Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Mahogany Close,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Babra Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Haigh Court,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Mcrorie Street,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
University Drive,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Wellam Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Anzac Avenue,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Cliff Street,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Swan Parade,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Grove Road,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Andersons Road,Mannerim,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Behind 29 - 49 Ash Road,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Nivek Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Athlon Avenue,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Waters Way,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Abigail Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Dennys Court,Grovedale,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Lawrence Street,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Lubeck Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Idwall Court,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Capital Drive,Grovedale,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Tabess Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Tettenhall Ridge,Belmont,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Carlina Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Tara Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Manifold Road,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Wellington Street,Moolap,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Pine Tree Court,Belmont,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Rolfe Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Homestead Drive,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Sweeney Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Volare Way,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Claremont Drive,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Nunan Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Riseborough Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Barimba Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Tresco Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Ashford Court,Belmont,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Roseview Way,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Moore Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Beach Road,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Malua Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Cochranes Road,Waurn Ponds,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Janvrin Place,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Tess Court,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Jessica Place,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Augustine Drive,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Ferguson Road,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Adair Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Bronte Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Speranza Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Andersons Road,Drysdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Fogarty Avenue,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Milford Place,Belmont,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Roseworth Close,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Bennett Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Pickworth Drive,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Scampton Court,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Kanimbla Avenue,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Falkirk Place,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Iluka Lane,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Finningley Court,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Koonangurt Road,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Molesworth Drive,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Wickenby Court,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Fitzpatrick Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Macfarlane Street,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Dorrigo Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Allegro Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Glengarwyn Road,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Macken Court,Highton,fortnightly,18/10/2023,weekly,11/10/2023,fortnightly,11/10/2023
Dulcify Court,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Norcott Road,Charlemont,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Moretti Court,Marshall,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
East Kirkby Court,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Newhaven Avenue,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Carroll Street,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Canara Mews,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Edwards Point Road,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Basin Road,Drysdale,fortnightly,16/10/2023,weekly,16/10/2023,fortnightly,23/10/2023
Langer Drive,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Dendle Street,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Heytesbury Drive,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Apaloosa Court,Belmont,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Sylwen Parade,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Coppards Road,St Albans Park,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Ord Street,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Casy Grove,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Lineal Street,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Mandlay Close,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Marsupial Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Panmore Court,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Ramp Place,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Warwarick,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
The Spinney,Belmont,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Trumper Crescent,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Fines Lane,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Cayley Place,Leopold,fortnightly,24/10/2023,weekly,17/10/2023,fortnightly,17/10/2023
Calk Terrace,St Leonards,fortnightly,23/10/2023,weekly,16/10/2023,fortnightly,16/10/2023
Charolais Court,Belmont,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
Broughton Drive,Highton,fortnightly,11/10/2023,weekly,11/10/2023,fortnightly,18/10/2023
